Team Name,Player ID,Player Name,Position,unit,goals,assists,own_goals,shots,yellow_cards,red_cards,minutes,xg,xa,xg_chain,xg_build,goals_per90,assists_per90,shots_per90,xg_per90,xa_per90,xg_chain_per90,xg_build_per90
Arminia Bielefeld,176,Sven Schipplock,FW,Attacking,1,0,0,16,3,0,692,1.6105515137314792,0.4864015914499757,2.341516625136136,0.4959113486111162,0.13005780346820808,0.0,2.0809248554913293,0.2094647922483138,0.06326032258742459,0.30453250904949747,0.06449714071531858
Arminia Bielefeld,1702,Mike van der Hoorn,DC,Defence,0,0,0,5,3,0,1261,0.3088460713624952,0.1041620839387177,1.047835570760071,1.047835570760071,0.0,0.0,0.3568596352101506,0.02204293927250164,0.007434248655419979,0.0747860439083318,0.0747860439083318
Arminia Bielefeld,2645,Marcel Hartel,MC,Midfield,0,0,0,21,1,0,1694,1.0239291433244937,1.1070015905424946,2.6977016311138864,1.0578258140012617,0.0,0.0,1.115702479338843,0.05440001351783025,0.058813543771443044,0.14332535230239066,0.05620089920903988
Arminia Bielefeld,5298,Arne Maier,DMC,Midfield,0,0,0,11,0,0,1053,0.5552855506539343,1.1113617755472656,2.2555231414735313,1.4895674586296077,0.0,0.0,0.9401709401709402,0.04746030347469524,0.09498818594421074,0.19277975568149838,0.12731345800253058
Arminia Bielefeld,6096,Sergio Córdova,Sub,Unknown,2,1,0,20,0,0,1091,2.9544419385492797,0.68724974617362,4.662422427907586,1.187661368399858,0.16498625114573787,0.08249312557286893,1.6498625114573786,0.24372114983449605,0.05669337961102273,0.38461779881914093,0.09797389840145483
Arminia Bielefeld,7320,Amos Pieper,DC,Defence,1,1,0,15,5,0,2506,1.473532099742442,0.4160660766065118,3.463566632010042,3.4083000039681783,0.035913806863527534,0.035913806863527534,0.538707102952913,0.05292014723735825,0.014942516717711917,0.12438986308096718,0.1224050280754733
Arminia Bielefeld,8786,Stefan Ortega Moreno,GK,Goalkeeper,0,1,0,0,1,0,2430,0.0,0.2559500858187674,3.450949601829051,3.218182910233735,0.0,0.037037037037037035,0.0,0.0,0.009479632808102496,0.1278129482158908,0.1191919596382865
Arminia Bielefeld,8787,Nathan de Medina,DL,Defence,0,1,0,0,5,1,625,0.0,0.4580217115581035,1.5612659156322477,1.1556151844561098,0.0,0.14400000000000002,0.0,0.0,0.06595512646436691,0.22482229185104366,0.1664085865616798
Arminia Bielefeld,8788,Anderson-Lenda Lucoqui,DL,Defence,0,0,0,8,5,0,1413,0.1438991995528336,0.1937740836292503,1.5764587623998518,1.427903603762388,0.0,0.0,0.5095541401273885,0.009165554111645453,0.012342298320334413,0.10041138614011795,0.09094927412499287
Arminia Bielefeld,8789,Manuel Prietl,DMC,Midfield,1,1,0,18,3,0,2519,0.7326453505083913,1.6916594691574571,5.020567077212035,3.619854727759957,0.03572846367606193,0.03572846367606193,0.6431123461691147,0.02617629279307472,0.06044039389605842,0.17937714845140257,0.12933184815339266
Arminia Bielefeld,8790,Cebio Soukou,AML,Midfield,1,0,0,9,2,0,454,0.4246277473866937,0.2365631721913814,0.6237577758729455,0.0874864570796488,0.19823788546255508,0.0,1.7841409691629957,0.08417730675066615,0.046895783033533756,0.12365242252987907,0.01734313025808016
Arminia Bielefeld,8791,Ritsu Doan,MR,Midfield,5,2,0,69,1,0,2792,5.026420149952172,3.6790455984883,7.3888143515214315,2.228593876585364,0.16117478510028654,0.06446991404011461,2.224212034383954,0.16202643749845827,0.11859387674210135,0.23817811305047593,0.0718386278268921
Arminia Bielefeld,8792,Fabian Klos,FW,Attacking,5,2,0,54,4,0,2750,7.10232002288103,4.54704522434622,12.630959674715994,3.9432776831090446,0.16363636363636364,0.06545454545454545,1.7672727272727273,0.23243956438519733,0.14881238916042175,0.41337686208161434,0.12905272417447783
