Team Name,Player ID,Player Name,Position,unit,goals,assists,own_goals,shots,yellow_cards,red_cards,minutes,xg,xa,xg_chain,xg_build,goals_per90,assists_per90,shots_per90,xg_per90,xa_per90,xg_chain_per90,xg_build_per90
Arsenal,181,Bernd Leno,GK,Goalkeeper,0,0,1,0,2,1,5648,0.0,0.0,11.400744095444677,11.400744095444677,0.0,0.0,0.0,0.0,0.0,0.18166908084100936,0.18166908084100936
Arsenal,204,Granit Xhaka,DMC,Midfield,9,15,0,161,42,3,13412,6.313741880469021,10.923837613314387,80.21638620272279,72.5537136560306,0.06039367730390695,0.10065612883984491,1.0803757828810021,0.04236778774546763,0.07330341374875446,0.5382847269792015,0.4868650633047087
Arsenal,317,Henrikh Mkhitaryan,AMR,Midfield,8,8,0,72,2,0,2555,7.361307034268974,10.134376026690006,25.002413101494312,12.089802073314784,0.28180039138943247,0.28180039138943247,2.5362035225048927,0.25930240042434743,0.3569838913511157,0.8807112247101715,0.4258638695101098
Arsenal,318,Pierre-Emerick Aubameyang,FW,Attacking,64,15,1,275,5,1,9272,59.52701956219971,13.177831617183982,72.3316526003182,18.144885305315253,0.6212251941328732,0.14559965487489215,2.669327006039689,0.5778075669324821,0.12791251569742862,0.7020975770091283,0.17612593587989353
Arsenal,342,Sead Kolasinac,DL,Defence,2,11,0,34,12,0,5828,3.215761682949959,12.08179378416389,35.583183497190475,28.18744245544076,0.03088538091969801,0.16986959505833904,0.5250514756348661,0.04966001226243932,0.18657540160857072,0.5495000883231199,0.43528994869417786
Arsenal,371,Sokratis,DC,Defence,3,2,0,18,18,0,3896,2.278040908277034,1.3804299272596834,10.484955775551496,10.366054552607237,0.06930184804928131,0.046201232032854214,0.41581108829568786,0.0526241482918206,0.03188878168721034,0.24220893732023477,0.23946224582511583
Arsenal,491,Petr Cech,GK,Goalkeeper,0,0,1,0,3,0,6906,0.0,0.0467074513435363,13.24034108035266,13.193633621558543,0.0,0.0,0.0,0.0,0.0006086983233301864,0.1725500575198001,0.17194135909937286
Arsenal,492,Héctor Bellerín,DR,Defence,8,20,1,109,30,0,14689,7.985885790549215,19.832103975582864,77.29944861866534,57.533006237819784,0.0490162706787392,0.12254067669684798,0.6678466879978215,0.04892979243988218,0.12151197207450866,0.4736163371012241,0.3525066758393206
Arsenal,493,Gabriel,DC,Defence,1,1,0,22,10,1,3535,1.3843919942155474,0.3415370453149078,11.263154137879608,10.95866536721587,0.025459688826025458,0.025459688826025458,0.5601131541725601,0.03524618938596868,0.00869542689627771,0.28675639954997584,0.2790042101978581
Arsenal,494,Laurent Koscielny,DC,Defence,14,0,0,50,15,1,10713,10.22926311381161,1.5968091906979671,34.01177082769573,32.05245436914265,0.11761411369364323,0.0,0.42005040604872584,0.08593612249071642,0.013414806978700369,0.28573316293219597,0.26927292945233255
Arsenal,495,Nacho Monreal,DL,Defence,6,11,0,57,17,0,12990,5.522229679860173,11.702576809562741,57.46119626797736,48.12812531273812,0.04157043879907621,0.07621247113163973,0.394919168591224,0.038260251823511594,0.08108020884223609,0.3981145237966099,0.33345121463790844
Arsenal,496,Mohamed Elneny,DMC,Midfield,1,3,0,52,10,1,4285,3.085444530472158,1.6709925141185513,22.053303697146475,19.392110938206315,0.021003500583430573,0.06301050175029171,1.0921820303383898,0.06480513599591464,0.03509669224519711,0.4631965770695876,0.40730221340456674
Arsenal,497,Francis Coquelin,DMC,Midfield,0,0,0,28,15,1,5183,1.0947910230606788,1.7193934246897686,26.757030586712062,25.354062565602362,0.0,0.0,0.4862049006366969,0.019010455735184468,0.029856339614524247,0.4646214070623356,0.44025962394447477
Arsenal,498,Alexis Sánchez,AML,Midfield,60,25,0,427,15,0,10172,52.44652198627591,31.481185170821842,97.47335548885167,37.64004049077629,0.5308690523004326,0.22119543845851355,3.7780180888714114,0.4640372570551349,0.2785397822821437,0.8624264642151642,0.3330322103981387
Arsenal,499,Mesut Özil,AMC,Midfield,28,45,0,176,13,0,13171,25.716041657142338,48.05271477252244,114.03677514009178,72.00072746817023,0.19132943588186166,0.30749373623870624,1.2026421684002733,0.17572270512055352,0.32835352892923997,0.7792354234764451,0.4919949489131668
Arsenal,500,Alex Iwobi,AML,Midfield,11,16,0,134,2,0,5957,12.628262326121328,14.849306477233766,50.033556308597326,30.11922107264399,0.16619103575625313,0.2417324156454591,2.02450898103072,0.19079127234361584,0.22434742033759256,0.7559207768631458,0.4550495042031155
Arsenal,501,Danny Welbeck,FW,Attacking,16,10,0,133,5,0,4285,20.229105146601796,6.412805764004586,31.64591508544981,9.421241112053393,0.33605600933488916,0.2100350058343057,2.7934655775962662,0.4248820217489292,0.13469136960569728,0.6646749959604394,0.19787904319365351
Arsenal,502,Olivier Giroud,FW,Attacking,46,12,1,228,9,1,5785,33.899770710617304,12.488689539954065,46.72174532711506,13.754640493541954,0.7156439066551427,0.18668971477960244,3.5471045808124457,0.5273948770882554,0.19429249068208573,0.7268724424270278,0.2139874925529431
Arsenal,503,Theo Walcott,AMR,Midfield,20,4,0,130,1,0,3799,23.635016676038504,4.964450174011289,31.66421781666577,8.475037896074353,0.47380889707817847,0.09476177941563568,3.07975783100816,0.559924059184908,0.11761003307739301,0.7501394060278808,0.20077741791173775
Arsenal,504,Aaron Ramsey,DMC,Midfield,23,28,0,263,13,0,9024,29.305440330877897,22.0044466368854,79.21804240904748,42.514230514876544,0.22938829787234044,0.2792553191489362,2.623005319148936,0.292275003299979,0.21945924172425602,0.7900735612604469,0.42401160752868894
